name,material,size,status,image,matched_artwork,source,score,match_note
Asia Argento Nun,Paper poster,11x17,matched,/prints/current-inventory/3107789476-paper-poster-11x17-asia-argento-nun.jpg,asiaNUN-85x11.png,artwork zip,160.0,override match: asiaNUN-85x11
Asia Clovers,Paper poster,11x17,matched,/prints/current-inventory/1401390015-paper-poster-11x17-asia-clovers.jpg,Asia_Clovers.png,artwork zip,160.0,override match: Asia_Clovers
Forest Mavis,Paper poster,11x17,matched,/prints/current-inventory/2195673667-paper-poster-11x17-forest-mavis.jpg,Mavis_Forest.jpeg,corrections zip: Standard 11x17 Posters.zip,160.0,override match: Mavis_Forest
Kob_Tohru_Omurice,Paper poster,11x17,matched,/prints/current-inventory/3042366591-paper-poster-11x17-kob-tohru-omurice.jpg,Kob_Tohru_Omurice.png,artwork zip,160.0,override match: Kob_Tohru_Omurice
Mavis and Zeref Close,Paper poster,11x17,matched,/prints/current-inventory/2528009197-paper-poster-11x17-mavis-and-zeref-close.jpg,Mavis_Zeref_Close.jpg,artwork zip,160.0,override match: Mavis_Zeref_Close
One Piece Duo,Paper poster,11x17,matched,/prints/current-inventory/1503566632-paper-poster-11x17-one-piece-duo.jpg,2012455711-paper-print-11x17-one-piece-duo.png,existing catalog image,204.0,override match: one-piece-duo
Pink Shadows Mavis,Paper poster,11x17,matched,/prints/current-inventory/3631937049-paper-poster-11x17-pink-shadows-mavis.jpg,1148734571-holographic-print-holographic-forest-mavis.jpg,existing catalog image,170.0,override match: forest-mavis
Red Black White Toga,Paper poster,11x17,matched,/prints/current-inventory/765856435-paper-poster-11x17-red-black-white-toga.jpg,Himiko Toga  Mask 2.jpg,corrections zip: Standard 11x17 Posters.zip,160.0,override match: Himiko Toga  Mask 2
Toga Black Mask,Paper poster,11x17,matched,/prints/current-inventory/57781581-paper-poster-11x17-toga-black-mask.jpg,1278163348-holographic-print-holographic-toga-black-mask.png,existing catalog image,170.0,override match: toga-black-mask
Toga Cammie PINK,Paper poster,11x17,matched,/prints/current-inventory/1629934764-paper-poster-11x17-toga-cammie-pink.jpg,TOGA.CAMIE.png,artwork zip,160.0,override match: TOGA.CAMI
