"April 10-12,","FandomCon,  San Jose","Cancelled"
"April 17-19","Huntsville A",""
"May 2-3,","Heart of TX,  Waco, TX","cancelled"
"May 8-10, 2026","PopCon Indy, Indianapolis, ","Monica Rial-- Date A Live, Froppy/Toga, Soul Eater Group w/Tsubaki, "
"May 22-25 ","MCM, London (LU)","Austin Tindle-- Young Kanaki print"
" June 6-7","RI Anime,Providence, RI",""
"June 13-14, 2026","Collect-a-con: Kansas City - ",""
" July 11-12, 2026","Silver Age Comic Con, Reno, Nevada",""
"July 17-19 ","Caribbean Gaming expo- Peurto Rico (LU)",""
"Aug 1-2 ","New Zealand, (LU)",""
" August 7–9,","Animethon, Edmonton, Alberta, Canada, 2026",""
"August 21 - 23","Colossalcon Texas, , 2026, Kalahari Resort, Round Rock (2 flights",""
"Sept 12-13","Anime Island, University of Oklahoma, Norman, , 2026 (flight for Katelyn)",""
"Sept 25-27","Ancient city con, st Aug Fl (WP) ",""
"Oct 2-3","Smokey Mountain Anime,  Kingsport, TN",""
"October 10-11,","Collect-a-con: Chicago 2 -  2026",""
"Oct 16-18 ","MiraiCon, Coral Springs, (LU)",""
"October 23 - 25, ","Tsumicon, Houston (18+)",""
"Oct31- Nov1"," -VXV Witchita KS (LU)",""
"Nov 7-8, ","ToonFusion Oklahoma, Tulsa, OK",""
"November 13-15","Grand Rapids Comic Con, Michigan, ",""
"December 19-20","Anime verse Pittsburgh ",""
