name,material,size,status,image,matched_image_name,matched_image_format,match_note
Toga Pink Hearts,Holographic poster,11x17,matched,/prints/catalog/2719216881-holographic-print-holographic-toga-pink-hearts.png,Toga Pink Hearts,Holographic poster 11x17,exact name; exact format; score 130
Toga Pink Hearts,Metal print,10x12,matched,/prints/catalog/2719216881-holographic-print-holographic-toga-pink-hearts.png,Toga Pink Hearts,Holographic poster 11x17,exact name; score 100
Bathtub Blair,Metal trading card,trading card,matched,/prints/catalog/400650485-paper-print-8-5x11-bathtub-blair.png,Bathtub Blair,Paper print 8.5x11,exact name; score 100
Blair Purple Paws OG,Metal trading card,trading card,matched,/prints/catalog/220698729-metal-print-large-metal-purple-paws-blair.png,Purple Paws Blair,Metal print 12x18,same words; score 95
Mavis Forest,Metal trading card,trading card,matched,/prints/catalog/2167659035-metal-print-medium-metal-forest-mavis.jpg,Forest Mavis,Metal print 10x12,same words; score 95
Toga Black Mask,Metal trading card,trading card,matched,/prints/catalog/2838209485-metal-trading-card-trading-card-toga-black-mask.png,Toga Black Mask,Metal trading card trading card,exact name; exact format; score 130
Asia Argento Nun,Paper poster,11x17,matched,/prints/catalog/3096612490-holographic-print-holographic-asia-argento-nun.png,Asia Argento Nun,Holographic poster 11x17,exact name; same size; score 110
Forest Mavis,Paper poster,11x17,matched,/prints/catalog/1148734571-holographic-print-holographic-forest-mavis.jpg,Forest Mavis,Holographic poster 11x17,exact name; same size; score 110
One Piece Duo,Paper poster,11x17,matched,/prints/catalog/2012455711-paper-print-11x17-one-piece-duo.png,One Piece Duo,Paper poster 11x17,exact name; exact format; score 130
Toga Black Mask,Paper poster,11x17,matched,/prints/catalog/1278163348-holographic-print-holographic-toga-black-mask.png,Toga Black Mask,Holographic poster 11x17,exact name; same size; score 110
Toga Dabi Black White,Paper poster,11x17,matched,/prints/catalog/1260659485-holographic-print-holographic-toga-dabi-black-white.png,Toga Dabi Black White,Holographic poster 11x17,exact name; same size; score 110
Spice and Wolf,Paper print,8.5x11,matched,/prints/catalog/876468564-paper-print-8-5x11-spice-and-wolf.jpg,Spice and Wolf,Paper print 8.5x11,exact name; exact format; score 130
Black Mask Toga,Paper poster,11x17,duplicate skipped,/prints/catalog/1278163348-holographic-print-holographic-toga-black-mask.png,Toga Black Mask,Holographic poster 11x17,same words; same size; score 105
Blair Fly Moon,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Blair Orange Kiss,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Toga Dabi City,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Toga Pink Aimee Ny Poster,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Toga Sparkle,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Toga Sparkle Purple,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
Toga Tsu Grayscale,Holographic poster,11x17,missing image,,,,No exact normalized name or same-word image filename match
DXD Hug,Metal print,10x12,missing image,,,,No exact normalized name or same-word image filename match
