"Item Name","Preferred Stock ","Current Stock ","NEXT SHOW: DFW Card Show, April 26","Shipping address omitted","Bring to Next Con ","Replenish?","#100 Satin","","","","","","","","","","","","","","","","","",""
"Toga Twice Dance","5","4","","","1","No","","","","","","","","","","","","","","","","","","",""
"Toga Cammie PINK","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Dabi City","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Dabi Black White","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Black Mask","5","6","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Dolls","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Neon","5","6","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Pink Hearts","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Ochaco Cover  B/W","5","0","https://drive.google.com/file/d/1tOIybVfQa0mGgPzdtDTXN08cAp8B96_i/view?usp=drive_link","","5","Yes","NEW","","","","","","","","","","","","","","","","","",""
"Toga Split","5","2","https://drive.google.com/file/d/1n476QqWwFurSJd3QgyJ4LV4WIpjTZxsN/view?usp=drive_link","","3","Yes","","","","","","","","","","","","","","","","","","",""
"Toga Ochaco Purple ","5","8","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Ochaco Point ","5","2","https://drive.google.com/file/d/1ecDmamWIIv54z1JbE4esPOBoCF6V_v-W/view?usp=drive_link","","3","Yes","","","","","","","","","","","","","","","","","","",""
"Cute Red Toga","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Red","5","2","https://drive.google.com/file/d/1bVlmtfljsd4VK9yMQlhBTXpOtNKQvffZ/view?usp=sharing","","3","Yes","","","","","","","","","","","","","","","","","","",""
"Red Black White Toga","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"TT Toga","5","3","","","2","","","","","","","","","","","","","","","","","","","",""
"Blood Artisan Toga","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Toga Ochaco Pride (seasonal)","10","3","","","7","","","","","","","","","","","","","","","","","","","",""
"Holiday Toga (seasonal)","10","0","","","10","","","","","","","","","","","","","","","","","","","",""
"One Piece Duo","5","3","","","2","No","","","","","","","","","","","","","","","","","","",""
"HS DXD Trio ","5","3","https://drive.google.com/file/d/1Lu24Ig8cFeZK0TnHrfQ1tbEcZsp47Iye/view?usp=sharing","","2","Yes","","","","","","","","","","","","","","","","","","",""
"Asia Argento Nun","3","3","","","0","No","","","","","","","","","","","","","","","","","","",""
"Asia Swimsuit","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Blood Artisan Asia","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Kobayashi Kana Tohru","5","3","","","2","No","","","","","","","","","","","","","","","","","","",""
"Kobayashi Gift","5","3","","","2","No","","","","","","","","","","","","","","","","","","",""
