"Item Name","Preferred Stock ","Current Stock ","NEXT SHOW: Indy Pop Con, May 8-10","Shipping address omitted","Bring to Next Con","Replenish?","Notes: Heavy cardstock with light gloss finish","","","","","","","","","","","","","","","","","",""
"Toga Cute (Photo Op Duo)","10","0","https://drive.google.com/file/d/1bVlmtfljsd4VK9yMQlhBTXpOtNKQvffZ/view?usp=sharing","","10","Yes","","","","","","","","","","","","","","","","","","",""
"Toga White ""Peace"" ","3","0","","","3","No","","","","","","","","","","","","","","","","","","",""
"Baka and Test_Minami","3","3","https://drive.google.com/file/d/11hwkxWEYs4DeJHzIG9KtgDIssLuRWNzM/view?usp=sharing","","0","No","4 Made on Photo Lustre, other printer on a larger job","","","","","","","","","","","","","","","","","",""
"Spice and Wolf","3","2","https://drive.google.com/file/d/1U2zpSuYct1Y4EdPOJ7LJplAxkgudwFc6/view?usp=sharing","","1","","","","","","","","","","","","","","","","","","","",""
"Mavis Forest","3","4","","","0","","","","","","","","","","","","","","","","","","","",""
"Eden of the East","5","5","","","0","","","","","","","","","","","","","","","","","","","",""
"Future Diary Murmur","3","3","","","0","","","","","","","","","","","","","","","","","","","",""
"Ecchi Asia Sitting","3","2","","","1","","","","","","","","","","","","","","","","","","","",""
"Bikini Asia","3","1","","","2","","","","","","","","","","","","","","","","","","","",""
"Bathtub Blair","3","0","","","3","","","","","","","","","","","","","","","","","","","",""
"NYE Blair (seasonal)","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Holiday Toga (seasonal)","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Kobayashi Holiday (seasonal) ","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Maron, Not Bulma","3","3","","","0","No","","","","","","","","","","","","","","","","","","",""
"Elze- Smartphone","2","2","","","0","No","","","","","","","","","","","","","","","","","","",""
"Ruby moonlight","2","2","","","0","No","","","","","","","","","","","","","","","","","","",""
"Minatsuki Death","2","2","","","0","No","","","","","","","","","","","","","","","","","","",""
"Minatsuki Innocent","2","0","","","2","No","","","","","","","","","","","","","","","","","","",""
"Sylvie HNTSDL","2","2","","","0","No","","","","","","","","","","","","","","","","","","",""
"Spy Family Girls","2","0","","","2","No","","","","","","","","","","","","","","","","","","",""
"Koby Mopping","3","0","","","3","","","","","","","","","","","","","","","","","","","",""
"Nichijou 3 ","2","0","","","2","","","","","","","","","","","","","","","","","","","",""
"Standard Mavis","2","1","","","1","","","","","","","","","","","","","","","","","","","",""
